Date,Block,Trtmnt,DateBlkTrtmnt,Loc,Time,Netter,AvegWindMph,TempC,Humidity,CloudCover,PercentInSun,Genus,Species,TotalOpenFl,TotalCloseFl,NatorNon,Notes,
11Sep2023,fscg,h,11Sep2023fscgh,south planter,1455,DG,3.2,20.5,74,30,15,Epilobium ,ciliata,35,15,native,,
11Sep2023,fscg,h,11Sep2023fscgh,south planter,1455,DG,3.2,20.5,74,30,15,Oxalis,pilosa,5,15,native,"not 100% on i.d., but",
11Sep2023,stav,c,11Sep2023stavc,1289AStorey,1315,DG,3.4,20.3,66,0,100,Hydrangea,quercifolia,"1,540",0,non,"note: 1,540 refers so small flowers with reproductive parts showing.  We also counted 165 ""sepal"" flowers - the white, showy-""petaled""(actually sepals) flowers at 165",
11Sep2023,stav,c,11Sep2023stavc,1289AStorey,1315,DG,3.4,20.3,66,0,100,Fuschia,,172,244,non,,
11Sep2023,stav,nh,11Sep2023stavnh,1295BStorey,1348,DG,6.4,17.9,76,0,0,Achillea ,millefolium,1600,0,native,,
11Sep2023,stav,nh,11Sep2023stavnh,1295BStorey,1348,DG,6.4,17.9,76,0,0,Monardella,villosa,6,61,native,,
11Sep2023,stav,nh,11Sep2023stavnh,1295BStorey,1348,DG,6.4,17.9,76,0,0,Agapanthus,,38,86,non,,
11Sep2023,stav,h,11Sep2023stavh,1291BStorey,1320,MM,3.4,20.3,66,0,100,Phacelia ,californica,833,56,native,,
11Sep2023,stav,h,11Sep2023stavh,1291BStorey,1320,MM,3.4,20.3,66,0,100,Horkelia,californica,45,0,native,,
11Sep2023,stav,h,11Sep2023stavh,1291BStorey,1320,MM,3.4,20.3,66,0,100,Grindelia,hirsitula,15,0,native,,
11Sep2023,stav,h,11Sep2023stavh,1291BStorey,1320,MM,3.4,20.3,66,0,100,Grindelia,stricta,30,3,native,,
11Sep2023,stav,h,11Sep2023stavh,1291BStorey,1320,MM,3.4,20.3,66,0,100,Symphyotrichum ,chilense,360,0,native,,
11Sep2023,stav,h,11Sep2023stavh,1291BStorey,1320,MM,3.4,20.3,66,0,100,Malva,,4,0,non,,
11Sep2023,fscg,c,11Sep2023fscgc,Stone stairs,1539,"MM,DG",3.2,20.5,74,20,90,,,0,0,,,
11Sep2023,fscg,nh,11Sep2023fscgnh,north planter,1500,MM,3.2,20.5,74,30,60,Daucus,carota,2295,1733,non,counting the tiny flowers,
11Sep2023,fscg,nh,11Sep2023fscgnh,north planter,1500,,3.2,20.5,74,30,60,Achillea ,millefolium,290,192,native,,
11Sep2023,fscg,nh,11Sep2023fscgnh,north planter,1500,,3.2,20.5,74,30,60,Tropaeolum,majus,3,0,non,,
11Sep2023,fscg,nh,11Sep2023fscgnh,north planter,1500,,3.2,20.5,74,30,60,Digitalis,,19,8,non,white flowered variety,
11Sep2023,fscg,nh,11Sep2023fscgnh,north planter,1500,,3.2,20.5,74,30,60,Sidalcea ,malviflora,3,0,native,,
5Sep2023,shta,c,5Sep2023shtac,west lot,1155,DG,2.4,20.1,66,10,97,Grevillea,lanigera,256,"1,260",non,,
5Sep2023,shta,c,5Sep2023shtac,west lot,1155,DG,2.4,20.1,66,10,97,Medicago ,lupulina,0,10,non,,
5Sep2023,ymca,c,5Sep2023ymcac,traffic circle,1054,DG,,,,20,90,Grevillea,lanigera,0,"5,333",non,"""medium-small"" macaroni-shaped flowers; all closed",
5Sep2023,ymca,c,5Sep2023ymcac,traffic circle,1054,DG,,,,20,90,Euphorbia,peplus,,,non,"25 small plants, did not count flowers.",
5Sep2023,ymca,nh,5Sep2023ymcanh,Lincoln/Funston,1020,DG,1.1,17.9,89,70,60,Grevillea,lanigera,0,"4,709",non,"most flowers ""medium"" size, not full-sized, but definitely shaped like macaroni",
5Sep2023,ymca,nh,5Sep2023ymcanh,Lincoln/Funston,1020,DG,1.1,17.9,89,70,60,Eriogonum,latifolium,0,15,native,,
5Sep2023,fosc,h,5Sep2023fosch,1206,1638,LG,0.8,18,86,100,100,Symphyotrichum ,chilense,6,3,native,"double check % in sun, at that time, likely in shade",
5Sep2023,fosc,h,5Sep2023fosch,1206,1638,LG,0.8,18,86,100,100,Grindelia,stricta,0,6,native,"double check % in sun, at that time, likely in shade",
5Sep2023,fosc,h,5Sep2023fosch,1206,1638,LG,0.8,18,86,100,100,Horkelia,californica,1,2,native,"double check % in sun, at that time, likely in shade",
3Sep2023,lile,h,3Sep2023lileh,Swplanter,1005,DG,1,17,89,100,100,Calandrinia,grandiflora,12,6,non,,
3Sep2023,lile,h,3Sep2023lileh,Swplanter,1005,DG,1,17,89,100,100,Symphyotrichum ,chilense,21,0,native,,
3Sep2023,lile,h,3Sep2023lileh,Swplanter,1005,DG,1,17,89,100,100,Cotyledon,orbiculata,3,0,non,,
3Sep2023,lile,h,3Sep2023lileh,Swplanter,1005,DG,1,17,89,100,100,Grindelia,hirsitula,1,0,native,,
3Sep2023,lile,c,3Sep2023lilec,bikepath,1006,LG,1,17,89,99,100,Sonchus ,oleraceus,2,0,non,,
30Aug2023,wewa,h,30Aug2023wewah,1420AWash,1606,DG,,,,0,95,Calandrinia,grandiflora,5,10,non,,
30Aug2023,wewa,h,30Aug2023wewah,1420AWash,1606,DG,,,,0,95,Pelargonium,,20,1,non,,
30Aug2023,wewa,h,30Aug2023wewah,1420AWash,1606,DG,,,,0,95,Symphyotrichum ,chilense,8,0,native,,
30Aug2023,wewa,h,30Aug2023wewah,1420AWash,1606,DG,,,,0,95,Grindelia,hirsitula,6,1,native,,
3Sep2023,wywe,nh,3Sep2023wywenh,,1402,DG,1.2,20.6,74,98,100,Achillea ,millefolium,330,20,native,,
3Sep2023,wywe,nh,3Sep2023wywenh,,1402,DG,1.2,20.6,74,98,100,Monardella,villosa,55,1,native,,
3Sep2023,wywe,nh,3Sep2023wywenh,,1402,DG,1.2,20.6,74,98,100,Medicago ,polymorpha,20,0,non,,
3Sep2023,wywe,h,3Sep2023wyweh,14thAvegate,1336,LG,1.2,20.6,74,98,100,Symphyotrichum ,chilense,8,1,native,,
3Sep2023,wywe,h,3Sep2023wyweh,14thAvegate,1336,LG,1.2,20.6,74,98,100,Horkelia,californica,1,0,native,,
3Sep2023,wywe,h,3Sep2023wyweh,14thAvegate,1336,LG,1.2,20.6,74,98,100,Grindelia,hirsitula,0,1,native,,
3Sep2023,wywe,c,3Sep2023wywec,fire hydrant,1337,DG,1.2,20.6,74,95,100,Salvia,rosmarinus,15,2,non,,
5Sep2023,ymca,h,5Sep2023ymcah,Trailhead,1020,LG,,,,75,100,Symphyotrichum ,chilense,127,45,native,,
5Sep2023,ymca,h,5Sep2023ymcah,Trailhead,1020,LG,,,,75,100,Grindelia,stricta,4,4,native,,
5Sep2023,ymca,h,5Sep2023ymcah,Trailhead,1020,LG,,,,75,100,Grevillea,lanigera,1280,7193,non,"LG counted 3,324 ""small"" closed flowers, and 3869 ""big"" closed flowers.  DG just combined for total 7193",
5Sep2023,ymca,h,5Sep2023ymcah,Trailhead,1020,LG,,,,75,100,Convolvulus,arvensis,1,0,non,,
5Sep2023,shta,nh,5Sep2023shtanh,Oso,1155,LG,2,22,63,1,100,Achillea ,millefolium,870,0,native,9 inflorescences,
5Sep2023,shta,nh,5Sep2023shtanh,Oso,1155,LG,2,22,63,1,100,Eriogonum,latifolium,8305,0,native,44 inflorescences,
5Sep2023,shta,nh,5Sep2023shtanh,Oso,1155,LG,2,22,63,1,100,Eschscholzia,californica,4,0,native,,
5Sep2023,shta,nh,5Sep2023shtanh,Oso,1155,LG,2,22,63,1,100,Grevillea,lanigera,600,"2,875",non,"dg combine ""big"" and ""small"" closed for 2875",
5Sep2023,shta,nh,5Sep2023shtanh,Oso,1155,LG,2,22,63,1,100,Calandrinia,grandiflora,13,4,non,,
5Sep2023,shta,h,5Sep2023shtah,entrance103lot,1222,LG,2,22,63,3,100,Grindelia,stricta,16,3,native,,
5Sep2023,shta,h,5Sep2023shtah,entrance103lot,1222,LG,2,22,63,3,100,Symphyotrichum ,chilense,35,1,native,,
5Sep2023,shta,h,5Sep2023shtah,entrance103lot,1222,LG,2,22,63,3,100,Grevillea,lanigera,2064,2582,non,,
5Sep2023,shta,h,5Sep2023shtah,entrance103lot,1222,LG,2,22,63,3,100,Horkelia,californica,5,0,,,
3May2023,shta,h,3May2023shtah,entrance103lot,1300,DG,1.4,20.7,46,0,100,Ranunculus,californicus,15,0,native,,
3May2023,shta,h,3May2023shtah,entrance103lot,1300,DG,1.4,20.7,46,0,100,Oxalis,pes-caprae,9,0,non,,
3May2023,shta,h,3May2023shtah,entrance103lot,1300,DG,1.4,20.7,46,0,100,Grevillea,lanigera,320,,non,this 320 combines opened and closed,
3May2023,shta,h,3May2023shtah,entrance103lot,1300,DG,1.4,20.7,46,0,100,Phacelia ,californica,26,46,native,,
3May2023,shta,h,3May2023shtah,entrance103lot,1300,DG,1.4,20.7,46,0,100,Aloe,striata,25,600,non,coral aloe,
3May2023,shta,h,3May2023shtah,entrance103lot,1300,DG,1.4,20.7,46,0,100,Kniphofia,poco yellow,13,60,non,,
3May2023,shta,h,3May2023shtah,entrance103lot,1300,DG,1.4,20.7,46,0,100,Phormioum,yellow wave,79,0,non,"New zealand flax, yellow wave",
3May2023,wywe,c,3May2023wywec,fire hydrant,1510,DG,1.3,20.8,70,70,100,Salvia,rosmarinus,12,0,non,,
3May2023,wywe,c,3May2023wywec,fire hydrant,1510,DG,1.3,20.8,70,70,100,Kniphofia,,212,1347,non,,
20Jun2023,lile,h,20Jun2023lileh,,1602,DG,1,8.5?,38,0,100,Aloe,saponaria,178,208,non,soap aloe; used aveg open and closed form nh plot average,
20Jun2023,lile,h,20Jun2023lileh,,1602,DG,1,8.5?,38,0,100,Calandrinia,grandiflora,60,82,non,,
20Jun2023,lile,h,20Jun2023lileh,,1602,DG,1,8.5?,38,0,100,Kalanchoe?,,22,194,non,get name of plant!,
20Jun2023,lile,c,20Jun2023lilec,,1501,"MM,LG",1.8,9?,44,0,95,Aloe,saponaria,308,575,non,,
20Jun2023,lile,c,20Jun2023lilec,,1501,"MM,LG",1.8,9?,44,0,95,Vicia,sativa,3,6,non,,
20Jun2023,lile,c,20Jun2023lilec,,1501,"MM,LG",1.8,9?,44,0,95,Rumex,acetosella,,,non,"16 plants, did not count flowers",
20Jun2023,lile,nh,20Jun2023lilenh,,1356,"MM,LG",0.6,12.8?,42,0,10,Achillea ,millefolium,22,233,native,255 total flowers,
20Jun2023,lile,nh,20Jun2023lilenh,,1356,"MM,LG",0.6,12.8?,42,0,10,Aloe,saponaria,156,182,non,,
20Jun2023,lile,nh,20Jun2023lilenh,,1356,"MM,LG",0.6,12.8?,42,0,10,Sidalcea ,malviflora,17,11,native,,
20Jun2023,lile,nh,20Jun2023lilenh,,1356,"MM,LG",0.6,12.8?,42,0,10,Fumaria,capreolata,72,0,non,,
20Jun2023,lile,nh,20Jun2023lilenh,,1356,"MM,LG",0.6,12.8?,42,0,10,Vicia,sativa,20,0,,,
20Jun2023,fosc,nh,20Jun2023foscnh,1203Ralston,900,"MM,LG",0,26.6,55,0,100,Raphanus ,sativus,250,17,non,,
20Jun2023,fosc,nh,20Jun2023foscnh,1203Ralston,900,"MM,LG",0,26.6,55,0,100,Eschscholzia,californica,12,0,native,a poppy patch is 1 meter to the left of this plot,
20Jun2023,fosc,nh,20Jun2023foscnh,1203Ralston,900,"MM,LG",0,26.6,55,0,100,Silene,gallica,17,0,non,,
20Jun2023,fosc,nh,20Jun2023foscnh,1203Ralston,900,"MM,LG",0,26.6,55,0,100,Lysimachia,arvensis,2,0,non,,
20Jun2023,fosc,nh,20Jun2023foscnh,1203Ralston,900,"MM,LG",0,26.6,55,0,100,Achillea ,millefolium,350,0,native,,
20Jun2023,fosc,c,20Jun2023foscc,1224Upton,1043,"MM,LG",0.7,23.4,46,0,85,Hypochaeris,radicata,8,0,non,,
20Jun2023,fosc,c,20Jun2023foscc,1224Upton,1043,"MM,LG",0.7,23.4,46,0,85,Carduus,pycnocephalus,1,0,non,,
20Jun2023,fosc,c,20Jun2023foscc,1224Upton,1043,"MM,LG",0.7,23.4,46,0,85,Rosa,,17,,non,"ornamental rose, white",
20Jun2023,fosc,h,20Jun2023fosch,1206Ralston,1145,"MM,LG",0.5,23.4,40,0,100,Medicago ,polymorpha,2,0,non,,
20Jun2023,fosc,h,20Jun2023fosch,1206Ralston,1145,"MM,LG",0.5,23.4,40,0,100,Vicia,sativa,6,0,non,,
20Jun2023,fosc,h,20Jun2023fosch,1206Ralston,1145,"MM,LG",0.5,23.4,40,0,100,Ranunculus,californicus,2,0,native,,
20Jun2023,fosc,h,20Jun2023fosch,1206Ralston,1145,"MM,LG",0.5,23.4,40,0,100,Taraxia,ovata,6,0,native,,
20Jun2023,fosc,h,20Jun2023fosch,1206Ralston,1145,"MM,LG",0.5,23.4,40,0,100,Rosa,,65,0,non,"ornamental rose, white",
14Jul2023,ymca,h,14Jul2023ymcah,TennHollowTrailhead,1024,DG,1.6,17.5,90,30,100,Symphyotrichum ,chilense,58,35,native,,
14Jul2023,ymca,h,14Jul2023ymcah,TennHollowTrailhead,1024,DG,1.6,17.5,90,30,100,Grindelia,hirsitula,11,4,native,,
14Jul2023,ymca,h,14Jul2023ymcah,TennHollowTrailhead,1024,DG,1.6,17.5,90,30,100,Grevillea,lanigera,12,30,non,"ultimately, decided not to count tiny budys; just those big enough that starting to ""curl""",
14Jul2023,ymca,h,14Jul2023ymcah,TennHollowTrailhead,1024,DG,1.6,17.5,90,30,100,Phacelia ,californica,85,15,native,,
14Jul2023,ymca,h,14Jul2023ymcah,TennHollowTrailhead,1024,DG,1.6,17.5,90,30,100,Horkelia,californica,19,0,native,,
14Jul2023,ymca,h,14Jul2023ymcah,TennHollowTrailhead,1024,DG,1.6,17.5,90,30,100,Convolvulus,arvensis,5,5,non,,
14Jul2023,ymca,h,14Jul2023ymcah,TennHollowTrailhead,1024,DG,1.6,17.5,90,30,100,Correa,pulchella,1,0,non,,
14Jul2023,ymca,nh,14Jul2023ymcanh,Lincoln/Funston,1140,DG,3.7,17.1,60,10,100,Achillea ,millefolium,891,0,native,,
14Jul2023,ymca,nh,14Jul2023ymcanh,Lincoln/Funston,1140,DG,3.7,17.1,60,10,100,Monardella,villosa,233,0,native,,
14Jul2023,ymca,nh,14Jul2023ymcanh,Lincoln/Funston,1140,DG,3.7,17.1,60,10,100,Eriogonum,latifolium,47,995,native,,
14Jul2023,ymca,nh,14Jul2023ymcanh,Lincoln/Funston,1140,DG,3.7,17.1,60,10,100,Sonchus ,oleraceus,1,0,non,,
14Jul2023,ymca,nh,14Jul2023ymcanh,Lincoln/Funston,1140,DG,3.7,17.1,60,10,100,Grevillea,lanigera,1,6,non,"decided not to count tiny buds whose color is not visible from 5' away, only those starting to ""curl""",
14Jul2023,ymca,nh,14Jul2023ymcanh,Lincoln/Funston,1140,DG,3.7,17.1,60,10,100,Euphorbia,peplus,,,,did not count,
19Jul2023,shta,h,19Jul2023shtah,entrance103lot,1417,"DG,LG",3.3,18,73,85,90,Horkelia,californica,110,5,native,,
19Jul2023,shta,h,19Jul2023shtah,entrance103lot,1417,"DG,LG",3.3,18,73,85,90,Symphyotrichum ,chilense,1,0,native,,
19Jul2023,shta,h,19Jul2023shtah,entrance103lot,1417,"DG,LG",3.3,18,73,85,90,Grevillea,lanigera,95,6763,non,,
19Jul2023,shta,h,19Jul2023shtah,entrance103lot,1417,"DG,LG",3.3,18,73,85,90,Geranium,robertianum,1,0,non,,
19Jul2023,shta,h,19Jul2023shtah,entrance103lot,1417,"DG,LG",3.3,18,73,85,90,Euphorbia,peplus,,,non,did not count,
21Jul2023,lile,nh,21Jul2023lilenh,,1432,DG,1.8,16.2,75,15,25,Aloe,arborescens,46,0,non,,
21Jul2023,lile,nh,21Jul2023lilenh,,1432,DG,1.8,16.2,75,15,25,Achillea ,millefolium,?,,,2.5 infloresces; use aveg fl/infl from other counts,
21Jul2023,lile,c,21Jul2023lilec,median strip,1602,DG,1.8,16.2,75,0,100,Aloe,arborescens,144,0,non,,
21Jul2023,lile,c,21Jul2023lilec,median strip,1602,DG,1.8,16.2,75,0,100,Rumex,acetosella,,,non,did not count,
25Jul2023,fscg,c,25Jul2023fscgc,,1135,LG,1.3,15.3,83,70,100,Geranium,,3,3,non,ornamental geranium,
25Jul2023,fscg,nh,25Jul2023fscgnh,,1038,LG,1.3,15.3,83,99,100,Achillea ,millefolium,582,35,native,,
25Jul2023,fscg,nh,25Jul2023fscgnh,,1038,LG,1.3,15.3,83,99,100,Digitalis,,58,85,non,white flowered variety,
25Jul2023,fscg,nh,25Jul2023fscgnh,,1038,LG,1.3,15.3,83,99,100,Tropaeolum,majus,13,0,non,,
25Jul2023,fscg,nh,25Jul2023fscgnh,,1038,LG,1.3,15.3,83,99,100,Monardella,villosa,30,0,native,,
25Jul2023,fscg,nh,25Jul2023fscgnh,,1038,LG,1.3,15.3,83,99,100,Digitalis,,7,5,non,purple variety,
25Jul2023,fscg,nh,25Jul2023fscgnh,,1038,LG,1.3,15.3,83,99,100,Sidalcea ,malviflora,2,3,native,,
21Jul2023,shta,nh,21Jul2023shtanh,,1244,DG,2.4,18.4,78,10,100,Achillea ,millefolium,13766,0,native,70 infloresces; used 197 fl/infl as aveg calculated at this site,
21Jul2023,shta,nh,21Jul2023shtanh,,1244,DG,2.4,18.4,78,10,100,Eriogonum,latifolium,378,824,native,12 infl,
21Jul2023,shta,nh,21Jul2023shtanh,,1244,DG,2.4,18.4,78,10,100,Calandrinia,grandiflora,5,11,non,,
21Jul2023,shta,nh,21Jul2023shtanh,,1244,DG,2.4,18.4,78,10,100,Eschscholzia,californica,1,0,native,,
21Jul2023,shta,nh,21Jul2023shtanh,,1244,DG,2.4,18.4,78,10,100,Monardella,villosa,740,0,native,40 infloresces,
21Jul2023,shta,nh,21Jul2023shtanh,,1244,DG,2.4,18.4,78,10,100,Grevillea,lanigera,113,1499,non,,
21Jul2023,shta,nh,21Jul2023shtanh,,1244,DG,2.4,18.4,78,10,100,Calystegia,purpurata,0,2,native,,
21Jul2023,shta,nh,21Jul2023shtanh,,1244,DG,2.4,18.4,78,10,100,Euphorbia,peplus,,,non,did not count,
24Jul2023,wywe,c,24Jul2023wywec,fire hydrant,1204,DG,0.6,16.8,87,100,100,Salvia,rosmarinus,1,0,non,,
24Jul2023,wywe,nh,24Jul2023wywenh,wyman/brown,1200,"MM, KB",0.6,16.8,87,100,100,Achillea ,millefolium,148,0,native,"1 inflorescence, time start approximate",
25Jul2023,fscg,h,25Jul2023fscgh,south planter,1138,DG,1.3,15.3,83,90,90,Nigella,,32,0,non,,
25Jul2023,fscg,h,25Jul2023fscgh,south planter,1138,DG,1.3,15.3,83,90,90,Brassica,,16,0,non,,
25Jul2023,fscg,h,25Jul2023fscgh,south planter,1138,DG,1.3,15.3,83,90,90,Lysimachia,arvensis,14,6,non,,
25Jul2023,fscg,h,25Jul2023fscgh,south planter,1138,DG,1.3,15.3,83,90,90,Epilobium ,ciliata,0,65,native,,
25Jul2023,fscg,h,25Jul2023fscgh,south planter,1138,DG,1.3,15.3,83,90,90,Fragaria,,1,0,,vesca? Or agricultural variety?,
25Jul2023,fscg,h,25Jul2023fscgh,south planter,1138,DG,1.3,15.3,83,90,90,Nepeta,cataria,76,,,"""Catnip",
21Jul2023,lile,h,21Jul2023lileh,south planter,1516,DG,1.8,16.2,75,0,100,Calandrinia,grandiflora,50,3,non,,
21Jul2023,lile,h,21Jul2023lileh,south planter,1516,DG,1.8,16.2,75,0,100,Grindelia,hirsitula,2,0,native,,
21Jul2023,lile,h,21Jul2023lileh,south planter,1516,DG,1.8,16.2,75,0,100,Cotyledon,orbiculata,55,38,non,,
21Jul2023,lile,h,21Jul2023lileh,south planter,1516,DG,1.8,16.2,75,0,100,Horkelia,californica,2,0,native,,
21Jul2023,lile,h,21Jul2023lileh,south planter,1516,DG,1.8,16.2,75,0,100,Phacelia ,californica,5,2,native,,
25Jul2023,shta,c,25Jul2023shtac,,930,"LG, DG",1,18,86,50,100,Grevillea,lanigera,24,600,non,"Note:  ""open"" is when tube is fully exerted",
25Jul2023,shta,c,25Jul2023shtac,,930,"LG, DG",1,18,86,50,100,Medicago ,lupulina,72,72,non,"individual ""bananas""",
25Jul2023,shta,c,25Jul2023shtac,,930,"LG, DG",1,18,86,50,100,Sonchus ,asper,1,0,non,,
24Jul2023,wywe,h,24Jul2023wyweh,14thAvegate,1233,"DG,KB",,,,100,100,Melilotus,indicus,56,0,non,,
24Jul2023,wywe,h,24Jul2023wyweh,14thAvegate,1233,"DG,KB",,,,100,100,Horkelia,californica,1,0,non,,
24Jul2023,wywe,h,24Jul2023wyweh,14thAvegate,1233,"DG,KB",,,,100,100,Hebe,speciosa,83,6,non,,
24Jul2023,fosc,c,24Jul2023foscc,1224Upton,1444,DG,1.5,19.5,79,30,100,Hypochaeris,radicata,10,0,non,,
24Jul2023,fosc,c,24Jul2023foscc,1224Upton,1444,DG,1.5,19.5,79,30,100,Rosa,,8,0,non,,
31Jul2023,eawa,c,31Jul2023eawac,407A,1600,LG,2.4,17.1,70,10,0,Pittosporum,tobira,11,4,non,,
31Jul2023,wewa,h,31Jul2023wewah,1420B,1420,"LG,MM",0.8,22.2,84,40,100,Grindelia,hirsitula,5,3,native,,
31Jul2023,wewa,h,31Jul2023wewah,1420B,1420,"LG,MM",0.8,22.2,84,40,100,Pelargonium,,40,26,non,,
31Jul2023,wewa,h,31Jul2023wewah,1420B,1420,"LG,MM",0.8,22.2,84,40,100,Calandrinia,grandiflora,21,19,non,,
05Jul2023,shta,c,05Jul2023shtac,,1127,DG,1.8,18.2,85,0,80,Medicago ,polymorpha,481,0,non,this is a count of inflorescences,
05Jul2023,shta,c,05Jul2023shtac,,1127,DG,1.8,18.2,,0,80,Trifolium ,repens,4,0,non,this is a count of inflorescences,
05Jul2023,shta,c,05Jul2023shtac,,1127,DG,1.8,18.2,85,0,80,Grevillea,lanigera,84,0,non,did not distinguish open vs. closed at this time,
05Jul2023,shta,c,05Jul2023shtac,,1127,DG,1.8,18.2,85,0,80,Rumex,acetosella,,,,"6 flowering plants, did not count flowers",
23May2023,shta,nh,23May2023shtanh,,1215,DG,1.2,21.9,66,0,100,Sidalcea ,malviflora,20,,native,,
23May2023,shta,nh,23May2023shtanh,,1215,DG,1.2,21.9,66,0,100,Fragaria,chiloensis,35,,native,,
23May2023,shta,nh,23May2023shtanh,,1215,DG,1.2,21.9,66,0,100,Grevillea,lanigera,168,,non,did not distinguish open vs. closed at this time,
23May2023,shta,nh,23May2023shtanh,,1215,DG,1.2,21.9,66,0,100,Veronica,persica,9,,non,,
06Jul2023,wywe,h,06Jul2023wyweh,14thAvegate,1500,DG,2.3,15.6,100,100,100,Hebe,speciosa,827,51,non,counted 8 infl to get an aveg,
06Jul2023,wywe,h,06Jul2023wyweh,14thAvegate,1500,DG,2.3,15.6,100,100,100,Horkelia,californica,1,0,native,,
06Jul2023,wywe,nh,06Jul2023wywenh,,1438,DG,2.3,15.6,100,100,100,Achillea ,millefolium,131,13,native,"""infl"" = above leaf node",
06Jul2023,wywe,nh,06Jul2023wywenh,,1438,DG,2.3,15.6,100,100,100,Knofophia,,17,,non,,
06Jul2023,wywe,c,06Jul2023wywec,,1548,DG,2.3,15.6,100,100,100,,,0,0,,nothing in flower,
06Jul2023,stav,c,06Jul2023stavc,1289AStorey,1630,DG,1.4,15.9,98,100,100,Fuschia,thymifolia,"2,008",1714,non,300 cubes volume,
06Jul2023,stav,c,06Jul2023stavc,1289AStorey,1630,DG,1.4,15.9,98,100,100,Hydrangea,quercifolia,382,,non,"""sepal-flowers""",
06Jul2023,stav,c,06Jul2023stavc,1289AStorey,1630,DG,1.4,15.9,98,100,100,Fumaria,capreolata,40,0,non,,
06Jul2023,stav,nh,06Jul2023stavnh,1295BStorey,1724,DG,1.4,15.9,98,100,100,Achillea ,millefolium,,,native,11 infl; use aveg fl/infl,
06Jul2023,stav,nh,06Jul2023stavnh,1295BStorey,1724,DG,1.4,15.9,98,100,100,Sidalcea ,malviflora,13,6,native,,
06Jul2023,stav,nh,06Jul2023stavnh,1295BStorey,1724,DG,1.4,15.9,98,100,100,Brassica,nigra,70,0,non,,
06Jul2023,stav,nh,06Jul2023stavnh,1295BStorey,1724,DG,1.4,15.9,98,100,100,Agapanthus,,96,476,non,,
06Jul2023,stav,nh,06Jul2023stavnh,1295BStorey,1724,DG,1.4,15.9,98,100,100,Fuschia,thymifolia,88,176,non,33 cubes total volume,
06Jul2023,stav,nh,06Jul2023stavnh,1295BStorey,1724,DG,1.4,15.9,98,100,100,Campanula,,750,475,non,75 cubes total volume,
06Jul2023,stav,nh,06Jul2023stavnh,1295BStorey,1724,DG,1.4,15.9,98,100,100,Hydrangea,quercifolia,14,,non,"""sepal-flowers""",
06Jul2023,stav,nh,06Jul2023stavnh,1295BStorey,1724,DG,1.4,15.9,98,100,100,Sonchus ,oleraceus,0,12,non,,
